Detailed,,,,,,,,,
 ==================== ,,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Surpass Object,Time,ID
Distance from Origin,160.874,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,30
Distance from Origin,163.351,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,31
Distance from Origin,164.239,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,32
Distance from Origin,158.832,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,33
Distance from Origin,159.6,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,34
Distance from Origin,190.874,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,35
Distance from Origin,169.544,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,36
Distance from Origin,189.023,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,37
Distance from Origin,179.982,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,38
Distance from Origin,163.467,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,39
Distance from Origin,160.55,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,40
Distance from Origin,165.201,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,41
Distance from Origin,160.154,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,42
Distance from Origin,160.53,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,43
Distance from Origin,150.875,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,44
Distance from Origin,148.928,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,45
Distance from Origin,163.619,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,46
Distance from Origin,164.312,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,47
Distance from Origin,164.866,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,48
Distance from Origin,161.913,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,49
Distance from Origin,160.84,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,50
Distance from Origin,160.85,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,51
Distance from Origin,162.54,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,52
Distance from Origin,168.894,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,53
Distance from Origin,163.56,um,Surface,,Distance from Origin,,Surface contact Area - cd68,1,54
