
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Image,Time,ID,
Position Z,11.4938,um,Surface,Position,,1,334,
Sphericity,0.547984,,Surface,,,1,297,
Sphericity,0.462227,,Surface,,,1,298,
Sphericity,0.723275,,Surface,,,1,299,
Sphericity,0.816595,,Surface,,,1,300,
Sphericity,0.566072,,Surface,,,1,303,
Sphericity,0.707034,,Surface,,,1,308,
Sphericity,0.931456,,Surface,,,1,314,
Sphericity,0.556181,,Surface,,,1,318,
Sphericity,0.872372,,Surface,,,1,319,
Sphericity,0.620969,,Surface,,,1,320,
Sphericity,0.715629,,Surface,,,1,322,
Sphericity,0.931229,,Surface,,,1,324,
Sphericity,0.885215,,Surface,,,1,325,
Sphericity,0.80234,,Surface,,,1,326,
Sphericity,0.928346,,Surface,,,1,328,
Sphericity,0.519043,,Surface,,,1,329,
Sphericity,0.930197,,Surface,,,1,330,
Sphericity,0.634362,,Surface,,,1,331,
Sphericity,0.895134,,Surface,,,1,332,
Sphericity,0.900274,,Surface,,,1,333,
Sphericity,0.201312,,Surface,,,1,334,
Time,0,s,Surface,,,1,297,
Time,0,s,Surface,,,1,298,
Time,0,s,Surface,,,1,299,
Time,0,s,Surface,,,1,300,
Time,0,s,Surface,,,1,303,
Time,0,s,Surface,,,1,308,
Time,0,s,Surface,,,1,314,
Time,0,s,Surface,,,1,318,
Time,0,s,Surface,,,1,319,
Time,0,s,Surface,,,1,320,
Time,0,s,Surface,,,1,322,
Time,0,s,Surface,,,1,324,
Time,0,s,Surface,,,1,325,
Time,0,s,Surface,,,1,326,
Time,0,s,Surface,,,1,328,
Time,0,s,Surface,,,1,329,
Time,0,s,Surface,,,1,330,
Time,0,s,Surface,,,1,331,
Time,0,s,Surface,,,1,332,
Time,0,s,Surface,,,1,333,
Time,0,s,Surface,,,1,334,
Time Index,1,,Surface,,,1,297,
Time Index,1,,Surface,,,1,298,
Time Index,1,,Surface,,,1,299,
Time Index,1,,Surface,,,1,300,
Time Index,1,,Surface,,,1,303,
Time Index,1,,Surface,,,1,308,
Time Index,1,,Surface,,,1,314,
